Title,Category,Best Paper
Mining Implicit Relevance Feedback from User Behavior for Web Question Answering,Data Mining,FALSE
Molecular Inverse-Design Platform for Material Industries,Data Mining,FALSE
Multi Modal Deep Learning Based Crop Classification Using Multispectral and Multitemporal Satellite Imagery,Data Mining,FALSE
Multi-objective Optimization for Guaranteed Delivery in Video Service Platform,Data Mining,FALSE
MultiSage: Empowering GCN with Contextualized Multi-Embeddings on Web-Scale Multipartite Networks,Data Mining,FALSE
Multitask Mixture of Sequential Experts for User Activity Streams,Data Mining,FALSE
Neural Input Search for Large Scale Recommendation Models,Data Mining,FALSE
Octet: Online Catalog Taxonomy Enrichment with Self-Supervision,Data Mining,FALSE
OptMatch: Optimized Matchmaking via Modeling the High-Order Interactions on the Arena,Data Mining,FALSE
Order Fulfillment Cycle Time Estimation for On-Demand Food Delivery,Data Mining,FALSE
Personalized Image Retrieval with Sparse Graph Representation Learning,Data Mining,FALSE
Personalized Prefix Embedding for POI Auto-Completion in the Search Engine of Baidu Maps,Data Mining,FALSE
Pest management in cotton farms: an AI-system case study from the global South,Data Mining,FALSE
PinnerSage: Multi-Modal User Embedding Framework for Recommendations at Pinterest,Data Mining,FALSE
"Polestar: An Intelligent, Efficient and National-Wide Public Transportation Routing Engine",Data Mining,FALSE
Predicting Individual Treatment Effects of Large-scale Team Competitions in a Ride-sharing Economy,Data Mining,FALSE
Prediction of Hourly Earnings and Completion Time on a Crowdsourcing Platform,Data Mining,FALSE
Price Investment using Prescriptive Analytics and Optimization in Retail,Data Mining,FALSE
Privileged Features Distillation at Taobao Recommendations,Data Mining,FALSE
Reconstruction and Decomposition of High-Dimensional Landscapes via Unsupervised Learning,Data Mining,FALSE
Salience and Market-aware Skill Extraction for Job Targeting,Data Mining,FALSE
Scaling Graph Neural Networks with Approximate PageRank,Data Mining,FALSE
Shop The Look: Building a Large Scale Visual Shopping System at Pinterest,Data Mining,FALSE
SimClusters: Community-Based Representations for Heterogeneous Recommendations at Twitter,Data Mining,FALSE
Sub-Matrix Factorization for Real-Time Vote Prediction,Data Mining,FALSE
Taming Pretrained Transformers for eXtreme Multi-label Text Classification,Data Mining,FALSE
Temporal-Contextual Recommendation in Real-Time,Data Mining,TRUE
TIES: Temporal Interaction Embeddings For Enhancing Social Media Integrity At Facebook,Data Mining,FALSE
Time-Aware User Embeddings as a Service,Data Mining,FALSE
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,Data Mining,FALSE
To Tune or Not to Tune? In Search of Optimal Configurations for Data Analytics,Data Mining,FALSE
Towards Building an Intelligent Chatbot for Customer Service: Learning to Respond at the Appropriate Time,Data Mining,FALSE
Two Sides of the Same Coin:  White-box and Black-box Attacks for Transfer Learning,Data Mining,FALSE
Unsupervised Translation via Hierarchical Anchoring: Functional Mapping of Places across Cities,Data Mining,FALSE
USAD : UnSupervised Anomaly Detection on multivariate time series,Data Mining,FALSE
User Sentiment as a Success Metric: Persistent Biases Under Full Randomization,Data Mining,FALSE
What is that Building? An End-to-end System for Building Recognition from Streetside Images,Data Mining,FALSE
