Title,Category,Best Paper
Background Matting: The World Is Your Green Screen,Computer Vision,FALSE
Learning to Simulate Dynamic Environments With GameGAN,Computer Vision,FALSE
Active 3D Motion Visualization Based on Spatiotemporal Light-Ray Integration,Computer Vision,FALSE
Neural Networks Are More Productive Teachers Than Human Raters: Active Mixup for Data-Efficient Knowledge Distillation From a Blackbox Model,Computer Vision,FALSE
Oops! Predicting Unintentional Action in Video,Computer Vision,FALSE
Semantics-Guided Neural Networks for Efficient Skeleton-Based Human Action Recognition,Computer Vision,FALSE
Adversarial Vertex Mixup: Toward Better Adversarially Robust Generalization,Computer Vision,FALSE
Learning to Autofocus,Computer Vision,FALSE
Boosting the Transferability of Adversarial Samples via Attention,Computer Vision,FALSE
Single Image Reflection Removal Through Cascaded Refinement,Computer Vision,FALSE
Distilled Semantics for Comprehensive Scene Understanding from Videos,Computer Vision,FALSE
Multi-Dimensional Pruning: A Unified Framework for Model Compression,Computer Vision,FALSE
Varicolored Image De-Hazing,Computer Vision,FALSE
Visually Imbalanced Stereo Matching,Computer Vision,FALSE
Defending Against Model Stealing Attacks With Adaptive Misinformation,Computer Vision,FALSE
Semi-Supervised Learning for Few-Shot Image-to-Image Translation,Computer Vision,FALSE
Single Image Optical Flow Estimation With an Event Camera,Computer Vision,FALSE
Fine-Grained Generalized Zero-Shot Learning via Dense Attribute-Based Attention,Computer Vision,FALSE
Solving Jigsaw Puzzles With Eroded Boundaries,Computer Vision,FALSE
Learning Rank-1 Diffractive Optics for Single-Shot High Dynamic Range Imaging,Computer Vision,FALSE
Universal Source-Free Domain Adaptation,Computer Vision,FALSE
Meta-Transfer Learning for Zero-Shot Super-Resolution,Computer Vision,FALSE
A Model-Driven Deep Neural Network for Single Image Rain Removal,Computer Vision,FALSE
Predicting Lymph Node Metastasis Using Histopathological Images Based on Multiple Instance Learning With Deep Graph Convolution,Computer Vision,FALSE
"APQ: Joint Search for Network Architecture, Pruning and Quantization Policy",Computer Vision,FALSE
SSRNet: Scalable 3D Surface Reconstruction Network,Computer Vision,FALSE
Semantic Correspondence as an Optimal Transport Problem,Computer Vision,FALSE
Improving Confidence Estimates for Unfamiliar Examples,Computer Vision,FALSE
Learning Generative Models of Shape Handles,Computer Vision,FALSE
Toward a Universal Model for Shape From Texture,Computer Vision,FALSE
Stochastic Sparse Subspace Clustering,Computer Vision,FALSE
Learn2Perturb: An End-to-End Feature Perturbation Learning to Improve Adversarial Robustness,Computer Vision,FALSE
Syn2Real Transfer Learning for Image Deraining Using Gaussian Processes,Computer Vision,FALSE
On Isometry Robustness of Deep 3D Point Cloud Models Under Adversarial Attacks,Computer Vision,FALSE
Self-Supervised Viewpoint Learning From Image Collections,Computer Vision,FALSE
On the Uncertainty of Self-Supervised Monocular Depth Estimation,Computer Vision,FALSE
StegaStamp: Invisible Hyperlinks in Physical Photographs,Computer Vision,FALSE
Anisotropic Convolutional Networks for 3D Semantic Scene Completion,Computer Vision,FALSE
Learning to Have an Ear for Face Super-Resolution,Computer Vision,FALSE
Cascaded Refinement Network for Point Cloud Completion,Computer Vision,FALSE
DOA-GAN: Dual-Order Attentive Generative Adversarial Network for Image Copy-Move Forgery Detection and Localization,Computer Vision,FALSE
Rotation Equivariant Graph Convolutional Network for Spherical Image Classification,Computer Vision,FALSE
Composing Good Shots by Exploiting Mutual Relations,Computer Vision,FALSE
DIST: Rendering Deep Implicit Signed Distance Function With Differentiable Sphere Tracing,Computer Vision,FALSE
Progressive Relation Learning for Group Activity Recognition,Computer Vision,FALSE
Boundary-Aware 3D Building Reconstruction From a Single Overhead Image,Computer Vision,FALSE
Learning Formation of Physically-Based Face Attributes,Computer Vision,FALSE
Deep Metric Learning via Adaptive Learnable Assessment,Computer Vision,FALSE
Rethinking Computer-Aided Tuberculosis Diagnosis,Computer Vision,FALSE
Creating Something From Nothing: Unsupervised Knowledge Distillation for Cross-Modal Hashing,Computer Vision,FALSE
Adversarial Examples Improve Image Recognition,Computer Vision,FALSE
TDAN: Temporally-Deformable Alignment Network for Video Super-Resolution,Computer Vision,FALSE
Retina-Like Visual Image Reconstruction via Spiking Neural Model,Computer Vision,FALSE
Resolution Adaptive Networks for Efficient Inference,Computer Vision,FALSE
Normal Assisted Stereo Depth Estimation,Computer Vision,FALSE
"Inverse Rendering for Complex Indoor Scenes: Shape, Spatially-Varying Lighting and SVBRDF From a Single Image",Computer Vision,FALSE
Explorable Super Resolution,Computer Vision,FALSE
DuDoRNet: Learning a Dual-Domain Recurrent Network for Fast MRI Reconstruction With Deep T1 Prior,Computer Vision,FALSE
Unsupervised Instance Segmentation in Microscopy Images via Panoptic Domain Adaptation and Task Re-Weighting,Computer Vision,FALSE
Heterogeneous Knowledge Distillation Using Information Flow Modeling,Computer Vision,FALSE
CARS: Continuous Evolution for Efficient Neural Architecture Search,Computer Vision,FALSE
Bi-Directional Interaction Network for Person Search,Computer Vision,FALSE
ZSTAD: Zero-Shot Temporal Activity Detection,Computer Vision,FALSE
Unpaired Image Super-Resolution Using Pseudo-Supervision,Computer Vision,FALSE
Training Quantized Neural Networks With a Full-Precision Auxiliary Module,Computer Vision,FALSE
ReSprop: Reuse Sparsified Backpropagation,Computer Vision,FALSE
Blindly Assess Image Quality in the Wild Guided by a Self-Adaptive Hyper Network,Computer Vision,FALSE
Bundle Adjustment on a Graph Processor,Computer Vision,FALSE
Multi-View Neural Human Rendering,Computer Vision,FALSE
Self-Supervised Monocular Trained Depth Estimation Using Self-Attention and Discrete Disparity Volume,Computer Vision,FALSE
Joint Filtering of Intensity Images and Neuromorphic Events for High-Resolution Noise-Robust Imaging,Computer Vision,FALSE
Automatic Neural Network Compression by Sparsity-Quantization Joint Learning: A Constrained Optimization-Based Approach,Computer Vision,FALSE
When2com: Multi-Agent Perception via Communication Graph Grouping,Computer Vision,FALSE
"MAGSAC++, a Fast, Reliable and Accurate Robust Estimator",Computer Vision,FALSE
Organ at Risk Segmentation for Head and Neck Cancer Using Stratified Learning and Neural Architecture Search,Computer Vision,FALSE
Learning Human-Object Interaction Detection Using Interaction Points,Computer Vision,FALSE
Deep Kinematics Analysis for Monocular 3D Human Pose Estimation,Computer Vision,FALSE
Domain Decluttering: Simplifying Images to Mitigate Synthetic-Real Domain Shift and Improve Depth Estimation,Computer Vision,FALSE
End-to-End Illuminant Estimation Based on Deep Metric Learning,Computer Vision,FALSE
PatchVAE: Learning Local Latent Codes for Recognition,Computer Vision,FALSE
FSS-1000: A 1000-Class Dataset for Few-Shot Segmentation,Computer Vision,FALSE
Correction Filter for Single Image Super-Resolution: Robustifying Off-the-Shelf Deep Super-Resolvers,Computer Vision,FALSE
Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,Computer Vision,FALSE
Efficient Adversarial Training With Transferable Adversarial Examples,Computer Vision,FALSE
Adversarial Texture Optimization From RGB-D Scans,Computer Vision,FALSE
PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,Computer Vision,FALSE
TextureFusion: High-Quality Texture Acquisition for Real-Time RGB-D Scanning,Computer Vision,FALSE
TomoFluid: Reconstructing Dynamic Fluid From Sparse View Videos,Computer Vision,FALSE
Point Cloud Completion by Skip-Attention Network With Hierarchical Folding,Computer Vision,FALSE
Revisiting Knowledge Distillation via Label Smoothing Regularization,Computer Vision,FALSE
Modeling Biological Immunity to Adversarial Examples,Computer Vision,FALSE
Rethinking Differentiable Search for Mixed-Precision Neural Networks,Computer Vision,FALSE
Wavelet Synthesis Net for Disparity Estimation to Synthesize DSLR Calibre Bokeh Effect on Smartphones,Computer Vision,FALSE
Structure-Guided Ranking Loss for Single Image Depth Prediction,Computer Vision,FALSE
Perspective Plane Program Induction From a Single Image,Computer Vision,FALSE
ActionBytes: Learning From Trimmed Videos to Localize Actions,Computer Vision,FALSE
Conv-MPN: Convolutional Message Passing Neural Network for Structured Outdoor Architecture Reconstruction,Computer Vision,FALSE
Novel Object Viewpoint Estimation Through Reconstruction Alignment,Computer Vision,FALSE
PaStaNet: Toward Human Activity Knowledge Engine,Computer Vision,FALSE
Dynamic Fluid Surface Reconstruction Using Deep Neural Network,Computer Vision,FALSE
MPM: Joint Representation of Motion and Position Map for Cell Tracking,Computer Vision,FALSE
AdderNet: Do We Really Need Multiplications in Deep Learning?,Computer Vision,FALSE
Adaptive Interaction Modeling via Graph Operations Search,Computer Vision,FALSE
Differentiable Volumetric Rendering: Learning Implicit 3D Representations Without 3D Supervision,Computer Vision,FALSE
Memory-Efficient Hierarchical Neural Architecture Search for Image Denoising,Computer Vision,FALSE
Embodied Language Grounding With 3D Visual Feature Representations,Computer Vision,FALSE
Cascade Cost Volume for High-Resolution Multi-View Stereo and Stereo Matching,Computer Vision,FALSE
All in One Bad Weather Removal Using Architectural Search,Computer Vision,FALSE
Fast-MVSNet: Sparse-to-Dense Multi-View Stereo With Learned Propagation and Gauss-Newton Refinement,Computer Vision,FALSE
Auxiliary Training: Towards Accurate and Robust Models,Computer Vision,FALSE
Cascaded Human-Object Interaction Recognition,Computer Vision,FALSE
Holistically-Attracted Wireframe Parsing,Computer Vision,FALSE
Strip Pooling: Rethinking Spatial Pooling for Scene Parsing,Computer Vision,FALSE
OASIS: A Large-Scale Dataset for Single Image 3D in the Wild,Computer Vision,FALSE
CONSAC: Robust Multi-Model Fitting by Conditional Sample Consensus,Computer Vision,FALSE
Deep Global Registration,Computer Vision,FALSE
CycleISP: Real Image Restoration via Improved Data Synthesis,Computer Vision,FALSE
Neural Network Pruning With Residual-Connections and Limited-Data,Computer Vision,FALSE
Neural Cages for Detail-Preserving 3D Deformations,Computer Vision,FALSE
Fashion Outfit Complementary Item Retrieval,Computer Vision,FALSE
SCT: Set Constrained Temporal Transformer for Set Supervised Action Segmentation,Computer Vision,FALSE
CPR-GCN: Conditional Partial-Residual Graph Convolutional Network in Automated Anatomical Labeling of Coronary Arteries,Computer Vision,FALSE
Neural Blind Deconvolution Using Deep Priors,Computer Vision,FALSE
3D Packing for Self-Supervised Monocular Depth Estimation,Computer Vision,FALSE
Local Non-Rigid Structure-From-Motion From Diffeomorphic Mappings,Computer Vision,FALSE
Structure Preserving Generative Cross-Domain Learning,Computer Vision,FALSE
Generative Hybrid Representations for Activity Forecasting With No-Regret Learning,Computer Vision,FALSE
Predicting Cognitive Declines Using Longitudinally Enriched Representations for Imaging Biomarkers,Computer Vision,FALSE
3D Sketch-Aware Semantic Scene Completion via Semi-Supervised Structure Prior,Computer Vision,FALSE
Progressive Mirror Detection,Computer Vision,FALSE
FOAL: Fast Online Adaptive Learning for Cardiac Motion Estimation,Computer Vision,FALSE
Don't Hit Me! Glass Detection in Real-World Scenes,Computer Vision,FALSE
Deep Grouping Model for Unified Perceptual Parsing,Computer Vision,FALSE
Inter-Task Association Critic for Cross-Resolution Person Re-Identification,Computer Vision,FALSE
SOS: Selective Objective Switch for Rapid Immunofluorescence Whole Slide Image Classification,Computer Vision,FALSE
Learning Multi-Granular Hypergraphs for Video-Based Person Re-Identification,Computer Vision,FALSE
Towards Unified INT8 Training for Convolutional Neural Network,Computer Vision,FALSE
Towards Achieving Adversarial Robustness by Enforcing Feature Consistency Across Bit Planes,Computer Vision,FALSE
HOnnotate: A Method for 3D Annotation of Hand and Object Poses,Computer Vision,FALSE
From Patches to Pictures (PaQ-2-PiQ): Mapping the Perceptual Space of Picture Quality,Computer Vision,FALSE
Fast MSER,Computer Vision,FALSE
Seeing Around Street Corners: Non-Line-of-Sight Detection and Tracking In-the-Wild Using Doppler Radar,Computer Vision,FALSE
Weakly Supervised Visual Semantic Parsing,Computer Vision,FALSE
Bringing Old Photos Back to Life,Computer Vision,FALSE
Enhanced Blind Face Restoration With Multi-Exemplar Images and Adaptive Spatial Feature Fusion,Computer Vision,FALSE
Geometry-Aware Satellite-to-Ground Image Synthesis for Urban Areas,Computer Vision,FALSE
End-to-End Learning Local Multi-View Descriptors for 3D Point Clouds,Computer Vision,FALSE
Multi-Scale Boosted Dehazing Network With Dense Feature Fusion,Computer Vision,FALSE
A Multi-Hypothesis Approach to Color Constancy,Computer Vision,FALSE
MSeg: A Composite Dataset for Multi-Domain Semantic Segmentation,Computer Vision,FALSE
Learning Event-Based Motion Deblurring,Computer Vision,FALSE
DMCP: Differentiable Markov Channel Pruning for Neural Networks,Computer Vision,FALSE
From Fidelity to Perceptual Quality: A Semi-Supervised Approach for Low-Light Image Enhancement,Computer Vision,FALSE
Learning Integral Objects With Intra-Class Discriminator for Weakly-Supervised Semantic Segmentation,Computer Vision,FALSE
Enhancing Cross-Task Black-Box Transferability of Adversarial Examples With Dispersion Reduction,Computer Vision,FALSE
Mesh-Guided Multi-View Stereo With Pyramid Architecture,Computer Vision,FALSE
